gencode_gene_id,gencode_gene_symbol,cell_line,half_life_h,half_life_log2,source,normalized_half_life
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,1.98019801980198,0.9856447070229298,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,2.0,1.0,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,2.0,1.0,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,2.0,1.0,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,2.0,1.0,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,2.0,1.0,BRIC-seq,-1.5021931323250857
,,HeLa_TetOff,2.02020202020202,1.014499569695115,BRIC-seq,-1.4026614760097549
,,HeLa_TetOff,2.02020202020202,1.014499569695115,BRIC-seq,-1.4026614760097549
,,HeLa_TetOff,2.02020202020202,1.014499569695115,BRIC-seq,-1.4026614760097549
,,HeLa_TetOff,2.02020202020202,1.014499569695115,BRIC-seq,-1.4026614760097549
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
,,HeLa_TetOff,2.04081632653061,1.029146345659515,BRIC-seq,-1.363188734195347
