gene_id,gene_symbol,half_life_h,cell_line,source,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
Acaa1a,Acaa1a,5.86924123204236,mESC,Herzog2017_SLAMseq,,,,unmapped
Acaca,Acaca,4.97909635198396,mESC,Herzog2017_SLAMseq,,,,unmapped
Acadsb,Acadsb,3.9091843900283,mESC,Herzog2017_SLAMseq,,,,unmapped
Acbd3,Acbd3,1.99035251960723,mESC,Herzog2017_SLAMseq,,,,unmapped
Acbd6,Acbd6,5.84005081744403,mESC,Herzog2017_SLAMseq,,,,unmapped
Acer2,Acer2,1.52245847743969,mESC,Herzog2017_SLAMseq,,,,unmapped
Aco1,Aco1,6.2609689982912,mESC,Herzog2017_SLAMseq,,,,unmapped
Aco2,Aco2,7.6407098502674,mESC,Herzog2017_SLAMseq,,,,unmapped
Acot7,Acot7,8.89234971092791,mESC,Herzog2017_SLAMseq,,,,unmapped
Acot9,Acot9,5.14012717419131,mESC,Herzog2017_SLAMseq,,,,unmapped
Acp6,Acp6,4.61740398719745,mESC,Herzog2017_SLAMseq,,,,unmapped
Acsl3,Acsl3,3.54980038260878,mESC,Herzog2017_SLAMseq,,,,unmapped
Actl6a,Actl6a,5.00513908120469,mESC,Herzog2017_SLAMseq,,,,unmapped
Actr10,Actr10,4.72094552196517,mESC,Herzog2017_SLAMseq,,,,unmapped
Actr3b,Actr3b,3.98841851731942,mESC,Herzog2017_SLAMseq,,,,unmapped
Actr5,Actr5,1.92718477401931,mESC,Herzog2017_SLAMseq,,,,unmapped
Actr8,Actr8,2.35275098412455,mESC,Herzog2017_SLAMseq,,,,unmapped
Acvr1b,Acvr1b,3.17426598532774,mESC,Herzog2017_SLAMseq,,,,unmapped
Adam10,Adam10,2.52589383013005,mESC,Herzog2017_SLAMseq,,,,unmapped
Adar,Adar,3.768285223189,mESC,Herzog2017_SLAMseq,,,,unmapped
Add1,Add1,5.34426516049892,mESC,Herzog2017_SLAMseq,,,,unmapped
Adgrb1,Adgrb1,3.63170106360383,mESC,Herzog2017_SLAMseq,,,,unmapped
Adgrl1,Adgrl1,4.10627226566467,mESC,Herzog2017_SLAMseq,,,,unmapped
Adh5,Adh5,9.07979650099203,mESC,Herzog2017_SLAMseq,,,,unmapped
Adipor1,Adipor1,3.6293284789869,mESC,Herzog2017_SLAMseq,,,,unmapped
Adk,Adk,3.50820779217492,mESC,Herzog2017_SLAMseq,,,,unmapped
Adpgk,Adpgk,3.93777700672595,mESC,Herzog2017_SLAMseq,,,,unmapped
Adrm1,Adrm1,2.96929823271728,mESC,Herzog2017_SLAMseq,,,,unmapped
Adsl,Adsl,4.12081877226599,mESC,Herzog2017_SLAMseq,,,,unmapped
Aebp2,Aebp2,1.21284610166527,mESC,Herzog2017_SLAMseq,,,,unmapped
Aen,Aen,2.72676929810137,mESC,Herzog2017_SLAMseq,,,,unmapped
Aes,Aes,7.33418136490776,mESC,Herzog2017_SLAMseq,,,,unmapped
Afdn,Afdn,2.64040403789059,mESC,Herzog2017_SLAMseq,,,,unmapped
Aff4,Aff4,3.77293635213938,mESC,Herzog2017_SLAMseq,,,,unmapped
Afg3l1,Afg3l1,5.68151951942523,mESC,Herzog2017_SLAMseq,,,,unmapped
Agap1,Agap1,2.20710221065094,mESC,Herzog2017_SLAMseq,,,,unmapped
Agap3,Agap3,4.51906013024634,mESC,Herzog2017_SLAMseq,,,,unmapped
Agap3,Agap3,3.96145594240354,mESC,Herzog2017_SLAMseq,,,,unmapped
Agfg1,Agfg1,2.97596518048805,mESC,Herzog2017_SLAMseq,,,,unmapped
Agfg1,Agfg1,2.26278418643552,mESC,Herzog2017_SLAMseq,,,,unmapped
Agk,Agk,3.03309470722433,mESC,Herzog2017_SLAMseq,,,,unmapped
Agpat1,Agpat1,4.33438677108528,mESC,Herzog2017_SLAMseq,,,,unmapped
Agpat5,Agpat5,5.56900326457157,mESC,Herzog2017_SLAMseq,,,,unmapped
Agpat5,Agpat5,2.53436249253551,mESC,Herzog2017_SLAMseq,,,,unmapped
